event_date,event_type,confidence,event_name,official_source,notes
2022-01-17,monetary_policy,high,中国人民银行下调1年期MLF利率10个基点至2.85%、7天期逆回购利率10个基点至2.10%（含7000亿元MLF操作）,gov.cn 国务院 english.www.gov.cn/statecouncil/ministries/202201/17/content_WS61e55e08c6d09c94e48a3c92.html（2022-01-17）；Reuters reuters.com/markets/rates-bonds/china-cuts-rates-policy-loans-analysts-point-more-easing-ahead-2022-01-17,全面货币宽松，降低政策利率；政策文本涉及银行、非银金融及利率敏感行业（地产、基建）；为2020年4月以来首次MLF降息
2022-01-24,monetary_policy,high,中国人民银行下调14天期逆回购利率10个基点,gov.cn 国务院 english.www.gov.cn/statecouncil/ministries/202201/24/content_WS61ee902bc6d09c94e48a4317.html（2022-01-24，2020年6月以来首次下调14天逆回购利率）,春节前OMO操作利率下调，延续1月宽松；政策文本涉及银行体系流动性、货币市场；为相对小型的公开市场操作调整
2022-04-25,monetary_policy,high,中国人民银行下调金融机构外汇存款准备金率1个百分点（9%→8%），5月15日起生效,Straits Times straitstimes.com/business/economy/china-lowers-banks-forex-reserve-ratio-to-curb-yuan-weakness（明确PBoC于周一2022-04-25发布声明）,外汇存款准备金率首次下调，增加外汇资金供给；政策文本涉及银行、外汇及跨境相关业务，与人民币汇率流动性管理相关
2022-08-15,monetary_policy,high,中国人民银行下调1年期MLF利率10个基点至2.75%、7天期逆回购利率10个基点至2.0%（含4000亿元MLF操作）,Reuters reuters.com/world/china/china-unexpectedly-cuts-2-key-rates-withdraws-cash-banking-system-2022-08-15；gov.cn 国务院 english.www.gov.cn/statecouncil/ministries/202208/16/content_WS62fb9d37c6d02e533532f384.html,MLF利率由2.85%降至2.75%，逆回购降至2.0%；政策文本涉及银行、非银金融及利率敏感行业（地产、基建）；此次降息为LPR于8月22日下调铺垫
2022-09-05,monetary_policy,high,中国人民银行下调金融机构外汇存款准备金率2个百分点（8%→6%），9月15日起生效,Bloomberg bloomberg.com/news/articles/2022-09-05/china-battles-yuan-losses-by-unleashing-foreign-exchange-onshore（2022-09-05）；Reuters via investing.com/news/economy/china-central-bank-to-cut-fx-reserve-ratio-to-help-limit-yuan-weakness-2885872（周一）,年内第二次下调外汇存款准备金率，释放外汇流动性；政策文本涉及银行、外汇及跨境相关业务，与人民币汇率管理相关
2022-10-07,geopolitical,high,美国商务部BIS发布对华先进计算芯片及半导体制造设备出口管制新规(EAR),美国商务部BIS 2022-10-07 interim final rule；Lexology/DigitalPolicyAlert/Pictet均确认10月7日发布,美方系统性限制先进制程芯片、AI计算芯片及制造设备对华出口；直接冲击半导体、电子、AI算力产业链
2023-02-01,capital_market_policy,high,证监会就全面实行股票发行注册制主要制度规则公开征求意见,"CSRC；Han Kun 法律评述：""On February 1, 2023, the CSRC started soliciting public feedback on the draft Administrative Measures for the Registration of Initial Public Offerings""（https://www.hankunlaw.com/upload/portal/20230206/d9433c7b0185ff5411620fcf4d7c7290.pdf）",全面注册制征求意见稿发布（主板注册制、发行承销、持续监管等一揽子规则）；文本面向全市场IPO与券商投行业务
2023-02-17,capital_market_policy,medium,证监会发布全面实行股票发行注册制相关制度规则（主板注册制正式落地）,CSRC 正式发布全面注册制配套制度规则（主板首发注册管理办法等）；征求意见期于2月1日启动、2月中旬定稿发布,全面注册制正式规则出台，主板纳入注册制；文本涉券商投行、全市场IPO定价与再融资。发布日为2月中旬，具体日期未在本次检索中独立复核
2023-05-21,geopolitical,high,中国网信办宣布美光公司(Micron)在华销售产品未通过网络安全审查,中国国家网信办(CAC) 2023-05-21公告；Reuters/SCMP/Stanford DigiChina确认5月21日(周日)发布,中方要求关键信息基础设施运营者停止采购美光产品；涉及存储芯片、半导体、信创/国产替代板块
2023-06-13,monetary_policy,high,中国人民银行下调7天期逆回购利率10个基点至1.90%,Global Times globaltimes.cn/page/202306/1292502.shtml（2023-06-13，10个月来首次）；21世纪经济报道 m.21jingji.com/article/20230614/herald/42b463f1698f91931469691257d556b5.html,10个月来首次下调7天逆回购政策利率，启动新一轮宽松；政策文本涉及银行、非银金融及利率敏感行业
2023-06-15,monetary_policy,high,中国人民银行下调1年期MLF利率10个基点至2.65%（含2370亿元MLF操作）,Reuters reuters.com/article/idUSL1N3870JT；CNBC cnbc.com/2023/06/15/china-cuts-a-key-policy-rate-for-first-time-in-10-months-as-economic-rebound-cools.html（2023-06-15）,MLF利率由2.75%降至2.65%，紧随6月13日逆回购降息；政策文本涉及银行、非银金融及利率敏感行业（地产、基建）；为6月20日LPR下调铺垫
2023-06-21,industry_policy,high,财政部、税务总局、工信部公告延续和优化新能源汽车车辆购置税减免政策（2024-2025年免征、2026-2027年减半，单车最高3万元）,"国务院 english.www.gov.cn 202306/21/content_WS64929394...；财政部2023-06-21声明；Reuters 2023-06-21；cnevpost 'On June 21, the MOF announced'",新能源车购置税减免延续至2027年（总减免约5200亿元）；文本涉及新能源汽车整车/产业链行业
2023-07-03,geopolitical,high,商务部、海关总署发布对镓、锗相关物项实施出口管制的公告（自8月1日起施行）,"商务部+海关总署 2023-07-03 公告；Global Times (""On July 3, the MOFCOM and GAC jointly issued a notice"")、CNN、Mayer Brown 确认 July 3, 2023",对镓、锗及相关化合物物项实施出口许可管制，8月1日生效；直接涉及半导体材料与化合物半导体上游。
2023-07-21,industry_policy,high,国务院常务会议审议通过《关于在超大特大城市积极稳步推进城中村改造的指导意见》,"gov.cn 2023-07-21（http://english.www.gov.cn/news/202307/21/content_WS64ba8c15c6d0868f4e8de05d.html）；Reuters 2023-07-21 (""China's cabinet has approved guidelines on transforming underdeveloped areas in megacities"")",国常会通过超大特大城市城中村改造指导意见；涉及房地产开发、建材、城市更新板块。
2023-08-09,geopolitical,high,美国总统签署第14105号行政令，建立对华半导体、量子信息、人工智能领域对外投资审查机制,美国白宫Executive Order 14105 (2023-08-09)；美国财政部与Simpson Thacher/Paul Weiss/Arnold Porter一致确认8月9日签署,美方首次限制对华三类敏感技术领域(半导体/量子/AI)的对外投资；涉及科技投融资、半导体、AI板块
2023-08-25,industry_policy,high,住建部、央行、金融监管总局联合发文推动落实购买首套房贷款“认房不用认贷”政策措施,国新办 SCIO 2023-08-25（http://english.scio.gov.cn/m/pressroom/2023-08/25/content_107593161.htm）；CAST Insight 报告确认 August 25 三部门联合通知；Bloomberg/Reuters 2023-08-25,三部门联合通知统一首套房认定口径（家庭在当地无房即按首套认定按揭）；涉及房地产、银行个人按揭。
2023-09-01,capital_market_policy,high,证监会及沪深交易所发布股票程序化交易报告制度相关规则,"CSRC / 沪深交易所；Junhe：""On September 1, 2023, the CSRC announced program trading reporting rules for stock market... circulars by each of the exchanges the same day""（https://www.junhe.com/legal-updates/2261）+ Reuters 2023-09-01",建立股票程序化（量化）交易报告制度与监管安排（报告细则60交易日过渡、规则2023-10-09生效）；文本面向量化私募、券商、高频交易
2023-10-17,geopolitical,high,美国商务部BIS更新并扩大对华先进计算芯片及半导体制造设备出口管制规则,美国商务部BIS 2023-10-17发布；Norton Rose Fulbright/AP(WRAL/KFOR)/Fortune一致确认10月17日(周二)发布,对2022-10-07规则进行修订扩围，新增受控AI芯片与制造设备类别；涉及半导体、AI算力、电子设备板块
2023-10-20,geopolitical,high,中国商务部、海关总署发布2023年第39号公告，对石墨相关物项实施出口管制(12月1日起施行),中国商务部、海关总署2023年第39号公告；Reuters/ChemLinked/Global Times确认10月20日发布、12月1日生效,中方对高敏感石墨物项(含球化石墨等)实施出口许可管制；涉及石墨、锂电池材料、新能源汽车产业链
2024-05-24,capital_market_policy,medium,证监会发布《上市公司股东减持股份管理暂行办法》及沪深北交易所配套细则,"CSRC；law.asia：""In May 2024, the CSRC issued the Interim Measures for the Administration of Share Reduction by Shareholders of Listed Companies, with the Shanghai and Shenzhen [exchanges]...""（https://law.asia/new-share-disposal-rules-china-2024/）+ Global Times 2024-05",将减持规则升格为部门规章、堵大宗/协议转让等绕道减持，破发破净/分红不达标限制减持；文本面向全市场大股东、董监高。5月具体发布日未在本次检索逐日复核
2024-07-10,capital_market_policy,high,证监会批准中证金融暂停转融券业务、并上调融券保证金比例申请,"CSRC；Reuters 2024-07-10（https://www.reuters.com/markets/asia/chinese-regulator-suspend-securities-relending-curb-short-selling-2024-07-10/）+ Xinhua/China Economic Net：""BEIJING, July 10... on Wednesday""",批准暂停转融券（存量7月底前了结）、融券保证金比例上调；文本面向融券/量化对冲、券商两融业务与被融券做空标的
2024-08-15,geopolitical,high,商务部、海关总署发布对锑、超硬材料相关物项实施出口管制的公告（2024年第33号，自9月15日起施行）,"商务部+海关总署 2024年第33号公告 2024-08-15；Reuters 2024-08-15、IEA Policies (""Announcement No. 33 of 2024 ... issued ... on August 15, 2024"")、ChemLinked",对锑（含锑矿、锑金属、氧化锑等六类）及超硬材料相关物项实施出口许可管制，9月15日生效；涉及半导体超硬材料、光伏及军工材料上游。
2024-12-03,geopolitical,high,中国商务部发布2024年第46号公告，加强镓、锗、锑及超硬材料等两用物项对美国出口管制,中国商务部2024年第46号公告；CSET(Georgetown)译文、AP/PBS/CSIS/FDD确认12月3日(周二)发布并即时生效,针对性收紧对美关键矿物(镓/锗/锑/超硬材料)出口，作为对美12月2日芯片管制的反制；涉及有色金属、稀有金属、军工材料板块
2025-01-13,geopolitical,high,美国商务部BIS发布人工智能扩散框架(Framework for AI Diffusion)临时最终规则，管制先进AI芯片与模型权重出口,美国商务部BIS 2025-01-13 interim final rule(联邦公报2025-00636)；BIS新闻稿、WilmerHale/Perkins Coie/CFR确认1月13日生效,美方按国家分级管制先进AI芯片、算力与前沿模型权重出口；涉及AI算力、半导体、云计算板块
