event_date,event_type,event_name,affected_industries,direction,magnitude,description,sources,verify_status,priority
2023-10-31,industry_policy,中央金融工作会议：加快建设金融强国（五年一度重磅会议）,"801780,801790,801180",+,高,中央金融工作会议在京举行（10月30-31日），首次提出"建设金融强国"目标，加强党中央对金融工作集中统一领导。会议规格5年一度。需核对：新华社通稿原文。,新华社通稿 2023-10-31,TODO,高
2024-03-13,industry_policy,推动大规模设备更新和消费品以旧换新行动方案,"801890,801040,801030,801880",+,高,国务院印发行动方案，目标2027年工业、农业、建筑、交通运输、教育、文旅、医疗等领域设备投资规模较2023年增长25%以上。利好机械、钢铁、化工、汽车产业链。需核对：国务院文件文号。,国务院 2024-03-13,TODO,高
2024-05-17,industry_policy,房地产新政"5·17": 取消房贷利率下限+首付15%+3000亿保障房再贷款,"801180,801710,801720,801780",+,高,央行+金融监管总局+住建部联合发布。央行取消全国层面首套和二套个人住房贷款利率政策下限，首付比例下调至15%/25%，3000亿元保障性住房再贷款工具。需核对：PBOC公告。,PBOC公告 2024-05-17,TODO,高
2024-11-08,industry_policy,人大常委会10万亿化债方案：6万亿+4万亿置换隐性债务,"801780,801720,801710,801180",+,高,十四届全国人大常委会第十二次会议通过决议，增加6万亿元地方政府债务限额置换存量隐性债务+5年累计4万亿元专项债置换。利好银行（出表）、建筑（应收回款）、建材。需核对：人大常委会公告。,NPC公告 2024-11-08,TODO,高
2024-12-09,industry_policy,中央政治局会议："适度宽松"货币政策+"更加积极"财政政策,"801780,801790,801180,801710",+,高,中央政治局会议首次提出"适度宽松"货币政策（14年首次表述变化）、"更加积极"财政政策。市场解读为重大宏观转向信号。需核对：新华社通稿原文。,新华社通稿 2024-12-09,TODO,高
2024-12-12,industry_policy,中央经济工作会议：明年实施更加积极有为的宏观政策,"801780,801790,801180,801710,801880",+,高,中央经济工作会议在京举行（12月11-12日），定调2025年"更加积极有为的宏观政策"，扩大内需+稳楼市稳股市。需核对：新华社通稿与会议日期。,新华社通稿 2024-12-12,TODO,高
2025-03-05,industry_policy,2025政府工作报告：GDP目标5%左右+财政赤字率4%,"801780,801790,801180,801720",+,高,十四届全国人大三次会议李强作政府工作报告，2025年GDP增长目标5%左右、CPI涨幅2%、财政赤字率4%（创新高）、专项债4.4万亿。需核对：政府工作报告原文。,新华社通稿 2025-03-05,TODO,高

# --- capital_market_policy（5 件，证监会主席换帅+新国九条+科八条+并购六条+央企市值管理）---
2024-02-07,capital_market_policy,证监会主席换帅：吴清接任易会满,"801790,801780",+,中,国务院任免决定吴清担任证监会主席，易会满不再担任。换帅时点正值A股春节前急跌后维稳关键期，市场预期监管转向"以投资者为本"。需核对：国务院任免文号。,国务院公告 2024-02-07,TODO,高
2024-04-12,capital_market_policy,国务院"新国九条"：推动资本市场高质量发展,"801790,801780",+,高,国务院印发《关于加强监管防范风险推动资本市场高质量发展的若干意见》（第三个"国九条"），严把发行上市准入、严格上市公司持续监管、加大退市监管。需核对：国务院文件文号。,国务院 2024-04-12,TODO,高
2024-06-19,capital_market_policy,国资委：央企市值管理纳入业绩考核,"801790,801780,801950,801960",+,中,国务院国资委发布《关于改进和加强中央企业控股上市公司市值管理工作的若干意见》，央企负责人考核纳入市值管理指标。利好低估值高股息央企（煤炭、石油、银行）。需核对：国资委文件。,国资委 2024-06-19,TODO,中
2024-09-09,capital_market_policy,证监会"科八条"：进一步强化科创板硬科技定位,"801080,801750,801770,801790",+,中,证监会发布《关于深化科创板改革服务科技创新和新质生产力发展的八条措施》，包括强化"硬科技"上市标准、支持科创板并购重组。需核对：证监会公告。,证监会 2024-09-09,TODO,中
2024-09-27,capital_market_policy,证监会"并购六条"：支持上市公司并购重组（区别于9-24一揽子）,"801080,801750,801790,801030",+,中,证监会发布《关于深化上市公司并购重组市场改革的意见》（六条），鼓励跨行业并购、新质生产力方向并购、提高监管包容度。需核对：与9-24一揽子是否为同一公告日；如重叠则改用2024-08其它cmp事件。,证监会 2024-09-27,TODO,中

# --- geopolitical（5 件，关税+出口管制+反补贴+地缘冲突）------------------
2023-10-07,geopolitical,巴以冲突爆发：哈马斯袭击以色列引发中东局势骤紧,"801960,801030,801040",+,高,哈马斯对以色列发动大规模袭击，以色列宣布进入战争状态。中东地缘风险升级推升原油价格（Brent 短线涨10%+），利好石油石化、化工。需核对：冲突爆发日与油价首日反应。,新华社/Reuters 2023-10-07,TODO,中
2024-05-14,geopolitical,美国对华301关税：电动车100%+电池25%+太阳能50%,"801880,801730,801080",-,高,USTR宣布对中国电动汽车关税从25%提高至100%、电池从7.5%提至25%、太阳能电池从25%提至50%、半导体从25%提至50%。覆盖180亿美元商品。需核对：USTR公告原文与生效日。,USTR 2024-05-14,TODO,高
2024-10-29,geopolitical,欧盟对中国电动车反补贴关税终裁：最高36.3%,"801880,801730",-,高,欧委会通过对华电动车反补贴关税终裁，最终关税7.8%-35.3%，叠加既有10%关税，最高税率45.3%（比亚迪+17.0%、吉利+18.8%、上汽+35.3%）。需核对：欧委会投票日与税率明细。,EC 2024-10-29,TODO,高
2024-12-02,geopolitical,美BIS第三轮半导体出口管制：扩大实体清单+HBM芯片,"801080,801770",-,高,美国商务部产业安全局对140家中国企业实施出口管制（含中微、北方华创等设备厂），扩大对HBM存储芯片和24种半导体制造设备的限制。需核对：BIS Federal Register公告。,BIS 2024-12-02,TODO,高
2025-01-15,geopolitical,拜登末期AI芯片出口管制框架：分国别配额限制,"801080,801770,801750",-,中,拜登政府推出"AI扩散框架"（AI Diffusion Framework），将各国划分三档，限制先进AI芯片出口规模与第三国转售。需核对：BIS公告生效日与豁免清单。,BIS 2025-01-15,TODO,中

# --- market_event（2 件，A股极端波动日）----------------------------------
2024-02-05,market_event,A股春节前急跌：沪指失守2700后V型反转（汇金增持+换帅前夕）,"801790,801780,801750,801080",-,高,2024年1月底A股急跌（沪指最低跌破2700），引发市场流动性危机预期。2024-02-05中央汇金宣布增持ETF稳市场，叠加2-07吴清接任前夕市场情绪转向。需核对：低点日与汇金公告日。,新华社/中央汇金 2024-02-05,TODO,中
2024-08-05,market_event,全球科技股黑色星期一：日股暴跌12.4%+美科技股急挫联动,"801080,801750,801790,801770",-,高,日经225单日暴跌12.4%（史上最大跌幅），美国7月就业数据弱于预期叠加日央行加息后日元套利交易平仓，全球科技股联动暴跌。A股科技/半导体跟跌。需核对：日经低点与A股相关板块跌幅。,Reuters/新华社 2024-08-05,TODO,中
