event_date,event_type,event_name,affected_industries,direction,magnitude,description
2023-06-21,industry_policy,财政部、税务总局、工信部公告延续和优化新能源汽车车辆购置税减免政策（2024-2025年免征、2026-2027年减半，单车最高3万元）,"801730,801160,801880,801050",,,新能源车购置税减免延续至2027年（总减免约5200亿元）；文本涉及新能源汽车整车/产业链行业
2023-07-03,geopolitical,商务部、海关总署发布对镓、锗相关物项实施出口管制的公告（自8月1日起施行）,"801080,801880,801110,801890,801050,801030,801740",,,对镓、锗及相关化合物物项实施出口许可管制，8月1日生效；直接涉及半导体材料与化合物半导体上游。
2023-07-21,industry_policy,国务院常务会议审议通过《关于在超大特大城市积极稳步推进城中村改造的指导意见》,"801180,801710,801780",,,国常会通过超大特大城市城中村改造指导意见；涉及房地产开发、建材、城市更新板块。
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,"801790,801780,801750,801760",+,高,7月政治局会议首次提出活跃资本市场，证监会随后密集出台降印花税等系列举措
2023-08-09,geopolitical,美国总统签署第14105号行政令，建立对华半导体、量子信息、人工智能领域对外投资审查机制,"801080,801750,801770",,,美方首次限制对华三类敏感技术领域(半导体/量子/AI)的对外投资；涉及科技投融资、半导体、AI板块
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,"801780,801790,801180,801710",+,高,央行同步下调MLF和OMO利率，幅度超市场预期，MLF 15bp为2020年4月以来最大单次降幅
2023-08-21,monetary_policy,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.20%,"801780,801790",+,中,1年期单降，5年期暂不调整为后续存量房贷利率下调保留空间
2023-08-25,industry_policy,住建部、央行、金融监管总局联合发文推动落实购买首套房贷款“认房不用认贷”政策措施,"801180,801710,801780",,,三部门联合通知统一首套房认定口径（家庭在当地无房即按首套认定按揭）；涉及房地产、银行个人按揭。
2023-08-27,capital_market_policy,证监会：印花税减半、阶段性收紧IPO、规范减持,"801790,801780",+,高,证监会一次性推出三项重磅举措，股票交易印花税由0.1%降至0.05%
2023-09-01,capital_market_policy,证监会及沪深交易所发布股票程序化交易报告制度相关规则,"801790,801780,801750",,,建立股票程序化（量化）交易报告制度与监管安排（报告细则60交易日过渡、规则2023-10-09生效）；文本面向量化私募、券商、高频交易
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180",+,中,央行宣布自9月15日起下调存款准备金率0.25个百分点，不含已执行5%的金融机构，下半年首次降准
2023-10-07,geopolitical,巴以冲突爆发：哈马斯袭击以色列引发中东局势骤紧,"801960,801030,801040",+,高,哈马斯对以色列发动大规模袭击，以色列宣布进入战争状态，中东地缘风险升级推升原油价格（Brent短线涨10%+），利好石油石化、化工
2023-10-17,geopolitical,美国商务部BIS更新并扩大对华先进计算芯片及半导体制造设备出口管制规则,"801080,801880,801110,801890,801750,801770,801030",,,对2022-10-07规则进行修订扩围，新增受控AI芯片与制造设备类别；涉及半导体、AI算力、电子设备板块
2023-10-20,geopolitical,中国商务部、海关总署发布2023年第39号公告，对石墨相关物项实施出口管制(12月1日起施行),"801080,801880,801110,801890,801050,801030,801740",,,中方对高敏感石墨物项(含球化石墨等)实施出口许可管制；涉及石墨、锂电池材料、新能源汽车产业链
2023-10-31,industry_policy,中央金融工作会议：加快建设金融强国（五年一度重磅会议）,"801780,801790,801180",+,高,中央金融工作会议在京举行（10月30-31日），首次提出建设金融强国目标，加强党中央对金融工作集中统一领导，会议规格5年一度
2024-01-24,monetary_policy,央行降准0.5pp+支农支小再贷款利率降25bp,"801780,801790,801180,801710",+,高,央行行长潘功胜在国新办发布会上宣布降准0.5个百分点（2月5日生效）及支农支小再贷款利率下调25bp，释放长期资金约1万亿元
2024-02-05,market_event,A股春节前急跌：沪指失守2700后V型反转,"801790,801780,801750,801080",-,高,2024年1月底A股急跌（沪指最低跌破2700），引发市场流动性危机预期，2024-02-05中央汇金宣布增持ETF稳市场，叠加2-07吴清接任前夕市场情绪转向
2024-02-07,capital_market_policy,证监会主席换帅：吴清接任易会满,"801790,801780",+,中,国务院任免决定吴清担任证监会主席，易会满不再担任，换帅时点正值A股春节前急跌后维稳关键期，市场预期监管转向以投资者为本
2024-02-20,monetary_policy,LPR非对称下调：1年期维持3.45%，5年期大降至3.95%(-25bp),"801180,801710,801720,801780",+,高,5年期单次降幅25bp创历史新高，力度超预期，重点支持房地产需求端
2024-03-13,industry_policy,推动大规模设备更新和消费品以旧换新行动方案,"801890,801040,801030,801880",+,高,国务院印发行动方案，目标2027年工业、农业、建筑、交通运输等领域设备投资规模较2023年增长25%以上，利好机械、钢铁、化工、汽车产业链
2024-04-12,capital_market_policy,国务院新国九条：推动资本市场高质量发展,"801790,801780",+,高,国务院印发关于加强监管防范风险推动资本市场高质量发展的若干意见（第三个国九条），严把发行上市准入、严格上市公司持续监管、加大退市监管
2024-05-14,geopolitical,美国对华301关税：电动车100%+电池25%+太阳能50%,"801880,801730,801080",-,高,USTR宣布对中国电动汽车关税从25%提高至100%、电池从7.5%提至25%、太阳能电池从25%提至50%、半导体从25%提至50%，覆盖180亿美元商品
2024-05-17,industry_policy,房地产新政5·17：取消房贷利率下限+首付15%+3000亿保障房再贷款,"801180,801710,801720,801780",+,高,央行+金融监管总局+住建部联合发布，央行取消全国层面首套和二套个人住房贷款利率政策下限，首付比例下调至15%/25%，设立3000亿元保障性住房再贷款工具
2024-05-24,capital_market_policy,证监会发布《上市公司股东减持股份管理暂行办法》及沪深北交易所配套细则,"801790,801780,801750",,,将减持规则升格为部门规章、堵大宗/协议转让等绕道减持，破发破净/分红不达标限制减持；文本面向全市场大股东、董监高。5月具体发布日未在本次检索逐日复核
2024-06-19,capital_market_policy,国资委：央企市值管理纳入业绩考核,"801790,801780,801950,801960",+,中,国务院国资委发布关于改进和加强中央企业控股上市公司市值管理工作的若干意见，央企负责人考核纳入市值管理指标，利好低估值高股息央企
2024-07-10,capital_market_policy,证监会批准中证金融暂停转融券业务、并上调融券保证金比例申请,"801790,801780,801750",,,批准暂停转融券（存量7月底前了结）、融券保证金比例上调；文本面向融券/量化对冲、券商两融业务与被融券做空标的
2024-07-22,monetary_policy,LPR双降：1年期降至3.35%(-10bp)，5年期降至3.85%(-10bp),"801780,801790,801180,801710",+,高,配合7天逆回购利率下调，完整降息链条启动
2024-08-05,market_event,全球科技股黑色星期一：日股暴跌12.4%+美科技股急挫联动,"801080,801750,801790,801770",-,高,日经225单日暴跌12.4%（史上最大跌幅），美国7月就业数据弱于预期叠加日央行加息后日元套利交易平仓，全球科技股联动暴跌，A股科技/半导体跟跌
2024-08-15,geopolitical,商务部、海关总署发布对锑、超硬材料相关物项实施出口管制的公告（2024年第33号，自9月15日起施行）,"801080,801880,801110,801890,801050,801030,801740",,,对锑（含锑矿、锑金属、氧化锑等六类）及超硬材料相关物项实施出口许可管制，9月15日生效；涉及半导体超硬材料、光伏及军工材料上游。
2024-09-09,capital_market_policy,证监会科八条：进一步强化科创板硬科技定位,"801080,801750,801770,801790",+,中,证监会发布关于深化科创板改革服务科技创新和新质生产力发展的八条措施，包括强化硬科技上市标准、支持科创板并购重组
2024-09-24,monetary_policy,央行、金监总局、证监会联合发布一揽子金融政策,"801780,801790,801180,801750",+,高,央行宣布降准0.5bp、降存量房贷利率等，证监会推互换便利与股票回购再贷款，史上力度最强组合拳
2024-09-26,capital_market_policy,政治局会议：促进房地产市场止跌回稳,"801180,801710,801720,801780",+,高,9月政治局会议首提房地产止跌回稳，政策定调明确，房地产板块强烈反弹
2024-09-27,capital_market_policy,证监会并购六条：支持上市公司并购重组,"801080,801750,801790,801030",+,中,证监会发布关于深化上市公司并购重组市场改革的意见（六条），鼓励跨行业并购、新质生产力方向并购、提高监管包容度
2024-10-21,monetary_policy,LPR双降：1年期降至3.10%(-25bp)，5年期降至3.60%(-25bp),"801780,801790,801180,801710,801750",+,高,9·24一揽子政策落地后首次LPR调整，幅度25bp为本轮最大单次降息
2024-10-29,geopolitical,欧盟对中国电动车反补贴关税终裁：最高36.3%,"801880,801730",-,高,欧委会通过对华电动车反补贴关税终裁，最终关税7.8%-35.3%，叠加既有10%关税，最高税率45.3%（比亚迪+17.0%、吉利+18.8%、上汽+35.3%）
2024-11-08,industry_policy,人大常委会10万亿化债方案：6万亿+4万亿置换隐性债务,"801780,801720,801710,801180",+,高,十四届全国人大常委会第十二次会议通过决议，增加6万亿元地方政府债务限额置换存量隐性债务+5年累计4万亿元专项债置换，利好银行、建筑、建材
2024-12-02,geopolitical,美BIS第三轮半导体出口管制：扩大实体清单+HBM芯片,"801080,801770",-,高,美国商务部产业安全局对140家中国企业实施出口管制（含中微、北方华创等设备厂），扩大对HBM存储芯片和24种半导体制造设备的限制
2024-12-03,geopolitical,中国商务部发布2024年第46号公告，加强镓、锗、锑及超硬材料等两用物项对美国出口管制,"801080,801880,801110,801890,801050,801030,801740",,,针对性收紧对美关键矿物(镓/锗/锑/超硬材料)出口，作为对美12月2日芯片管制的反制；涉及有色金属、稀有金属、军工材料板块
2024-12-09,industry_policy,中央政治局会议：适度宽松货币政策+更加积极财政政策,"801780,801790,801180,801710",+,高,中央政治局会议首次提出适度宽松货币政策（14年首次表述变化）和更加积极财政政策，市场解读为重大宏观转向信号
2024-12-12,industry_policy,中央经济工作会议：明年实施更加积极有为的宏观政策,"801780,801790,801180,801710,801880",+,高,中央经济工作会议在京举行（12月11-12日），定调2025年更加积极有为的宏观政策、扩大内需、稳楼市稳股市
2025-01-13,geopolitical,美国商务部BIS发布人工智能扩散框架(Framework for AI Diffusion)临时最终规则，管制先进AI芯片与模型权重出口,"801080,801750,801770",,,美方按国家分级管制先进AI芯片、算力与前沿模型权重出口；涉及AI算力、半导体、云计算板块
2025-01-15,geopolitical,拜登末期AI芯片出口管制框架：分国别配额限制,"801080,801770,801750",-,中,拜登政府推出AI扩散框架，将各国划分三档，限制先进AI芯片出口规模与第三国转售，影响中国AI算力供应链
2025-01-27,industry_policy,DeepSeek-R1登顶全球应用榜：中国AI里程碑,"801080,801750,801770,801760",+,高,DeepSeek-R1以极低成本比肩GPT-o1登顶美区AppStore英伟达单日蒸发5890亿美元A股AI概念股春节后平均涨幅超17%
2025-03-05,industry_policy,2025政府工作报告：GDP目标5%左右+财政赤字率4%,"801780,801790,801180,801720",+,高,十四届全国人大三次会议李强作政府工作报告，2025年GDP增长目标5%左右、CPI涨幅2%、财政赤字率4%（创新高）、专项债4.4万亿
2025-04-02,geopolitical,特朗普宣布对等关税：对华累计加征54%关税,"801080,801110,801880,801030,801050,801890",-,高,美国宣布对华额外加征34%对等关税叠加此前20%共计54%电子家电汽车化工等出口链重挫
2025-04-04,geopolitical,中国反制：对美所有商品加征34%关税,"801010,801030,801050,801080",-,高,国务院关税税则委员会宣布自4月10日起对原产于美国的所有商品加征34%进口关税
2025-04-07,market_event,A股黑色星期一：沪指跌7.34%创业板跌12.5%,"801080,801790,801750,801730,801880",-,高,关税冲击下全球股市暴跌A股三大指数集体重挫中央汇金公司宣布增持ETF托底
2025-05-07,monetary_policy,央行一揽子宽松：降准0.5个百分点+降息10bp,"801780,801790,801180,801710",+,高,央行宣布三类十项措施降准释放1万亿流动性加7天逆回购利率降至1.4%加结构性工具利率下调25bp
2025-05-20,monetary_policy,LPR双降：1年期降至3.00%(-10bp)5年期降至3.50%(-10bp),"801780,801790,801180,801710",+,高,2025年首次LPR下调预计带动房贷利率逼近3%存量房贷利率降至3.2%
